Nº,Desc. nacionalidade,A/S curricular aluno,Sexo (M/F),Desc. tipos aluno,Cód. curso,Nome curso,Área Científica,Empregabilidade,Ano lectivo ingresso,Candidatos - Formade Ingresso 1.º ano 1.ª vez,Nota de Ingresso,Ano Nascimento,Idade neste ano letivo,Ano conclusão habilitação anterior,Classificação habilitação anterior,Desc. habilitação anterior,Desc. regime frequência,Bolsa DGES,Concelho,Km Distância ISEC Lisboa - Concelho Morada Indicada pelo estudante,Desc. habilitação literária mãe,Desc. habilitação literária pai,Desc. profissão mãe,Desc. profissão pai,Desc. situação profissional mãe,Desc. situação profissional pai,Desc. situação profissional (aluno),Desc. grupo profissional (aluno),ECTS (aprovados),ECTS (inscrito),% de ECTS feitos face inscritos,Média UC Realizadas,Diplomou-se até 2022 (Curso),Diplomou-se até 2022 (Data),Abandono?
20210533,Brasileira,1,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,H - Licenciatura - Acesso para maiores de 23,14.60,1980,41,1999,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Odivelas,7.40,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta própria - (como empregador),Técnicos e Profissionais de Nível Intermédio,7,46,15%,13.00,Não,Não,Não renovou
20210576,Portuguesa,1,M,Trabalhador Estudante,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,L - Licenciatura - Titulares de diploma de especialização tecnológica - CET + Prova de Ingresso Interna,14.70,1962,59,2013,14,Curso de Especialização Tecnológica ESup,Pós-Laboral (horário não vinculativo),Não,Lamego,346.00,4.º ano de escolaridade (antiga 4.ª classe),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Reformado/a,Reformado/a,Trabalha por conta de outrém,"Técnicos e profissões das ciências e engenharia, de nível intermédio",15,30,50%,15.20,Não,Não,renovou no ano seguinte
20190473,Caboverdiana,1,F,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,O - Licenciaturas - Concurso Especial de Acesso e Ingresso para Estudante Internacional,13.90,1999,22,2017,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desempregado/a,Pessoal de apoio directo a clientes,60,60,100%,13.02,Não,Não,renovou no ano seguinte
20200532,Portuguesa,1,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,H - Licenciatura - Acesso para maiores de 23,14.62,1996,25,2018,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Oeiras,21.30,Outra,Desconhecido,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos cuidados pessoais e similares,45,45,100%,13.02,Não,Não,renovou no ano seguinte
20180426,Angolana,1,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,H - Licenciatura - Acesso para maiores de 23,15.50,1997,24,2017,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Odivelas,7.40,Licenciatura,Pós-Bacharelato,Professores,Outra situação,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),Trabalha por conta própria - independente (sem empregados),"Trabalhadores qualificados da construção e similares, excepto electricista",60,60,100%,11.03,Não,Não,renovou no ano seguinte
20210737,Portuguesa,1,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),12.00,1968,53,1994,12,Bacharelato,Pós-Laboral (horário não vinculativo),Não,Funchal,934.00,Ensino médio,Licenciatura,Não Responde,Diretores de serviços administrativos e comerciais,Desconhecida /Não Tem,Outra Situação,Desempregado/a,"Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",8,8,100%,15.00,Engenharia da Construção e da Reabilitação,202122,Não renovou porque já se diplomou
20200396,Portuguesa,2,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,I - Licenciatura - Mudança de Par Instituição/Curso,10.10,2001,20,2020,11,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Mafra,35.00,Desconhecido,Desconhecido,Não Responde,Não Responde,Trabalha no negócio de familia,Trabalha no negócio de familia,"Aluno, estudante","Trabalhadores não qualificados da indústria extractiva, construção, indústria transformadora e transportes",48,48,100%,13.60,Não,Não,renovou no ano seguinte
20180446,Angolana,3,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,H - Licenciatura - Acesso para maiores de 23,14.15,1991,30,2014,12,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Pessoal de apoio directo a clientes,85,85,100%,11.89,Não,Não,renovou no ano seguinte
20190768,Portuguesa,3,M,Normal,160,Engenharia da Construção e da Reabilitação,582 – Construção Civil e Engenharia Civil,100.00%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),12.00,1979,42,2004,12,Bacharelato,Pós-Laboral (horário não vinculativo),Não,Seixal,27.80,4.º ano de escolaridade (antiga 4.ª classe),9º ano de esco(antigo 5º ano liceal/ensino técni.),Outra situação,"Trabalhadores não qualificados da indústria extrativa, construção, indústria transformadora e transportes",Reformado/a,Reformado/a,Trabalha por conta de outrém,"Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",8,8,100%,10.00,Engenharia da Construção e da Reabilitação,202122,Não renovou porque já se diplomou
20210010,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),15.00,1983,38,2016,15,Licenciatura 1.º Ciclo,Pós-Laboral (horário não vinculativo),Não,Benavente,55.88,9º ano de esco(antigo 5º ano liceal/ensino técni.),4.º ano de escolaridade (antiga 4.ª classe),Assistentes na preparação de refeições,Não disponível,Trabalha por conta de outrém,Desconhecida /Não Tem,Trabalha por conta de outrém,Profissões das Forças Armadas,25,60,42%,15.12,Não,Não,Não renovou
20210026,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,15.73,1991,30,2012,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Vila Franca de Xira,34.40,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,"Técnicos e profissionais, de nível intermédio da saúde",60,60,100%,17.00,Não,Não,renovou no ano seguinte
20210069,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,15.91,1994,27,2014,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Vila Franca de Xira,34.40,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Trabalhadores de limpeza,Outro pessoal das Forças Armadas,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Pessoal dos serviços de protecção e segurança,60,60,100%,14.20,Não,Não,renovou no ano seguinte
20210074,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.00,2001,20,2020,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Caldas da Rainha,87.50,12.º ano de escolaridade,Outra,Outra situação,Outra situação,Trabalha por conta própria - independente (sem empregados),Outra Situação,Trabalha por conta própria - independente (sem empregados),Outra situação,0,60,0%,0.00,Não,Não,Não renovou
20210057,Espanhola,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,14.40,1997,24,2014,13.5,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),sim,Mafra,35.00,Licenciatura,Mestrado,"Especialistas em assuntos jurídicos, sociais, artísticos e culturais","Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais",Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),Trabalha por conta de outrém,Operadores de instalações e Máquinas e Trabalhadores da Montagem,0,60,0%,0.00,Não,Não,Não renovou
20210083,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),15.60,2001,20,2020,17,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sesimbra,42.20,12.º ano de escolaridade,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Outra situação,Condutores de veículos e operadores de equipamentos móveis,Trabalha por conta de outrém,Desconhecida /Não Tem,Trabalha por conta de outrém,Outra situação,0,60,0%,0.00,Não,Não,Não renovou
20210110,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,16.62,1967,54,1996,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Odivelas,7.40,4.º ano de escolaridade (antiga 4.ª classe),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,"Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",38,60,63%,12.08,Não,Não,Não renovou
20210156,Portuguesa,1,F,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,17.10,1986,35,2006,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Benavente,55.88,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),Serviço Militar,Sargentos das Forças Armadas,60,60,100%,12.83,Não,Não,renovou no ano seguinte
20210270,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.90,2001,20,2021,16,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,11.º ano de escolaridade,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Reformado/a,Trabalha por conta de outrém,Vendedores,55,60,92%,11.71,Não,Não,renovou no ano seguinte
20210257,Portuguesa,1,F,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.50,2002,19,2021,17,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Mafra,35.00,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,"Agricultores e trabalhadores qualificados da agricultura e produção animal, orientados para o mercado",29,60,48%,13.72,Não,Não,Não renovou
20210298,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),12.00,1977,44,2006,12,Bacharelato,Pós-Laboral (horário não vinculativo),Não,Oeiras,21.30,9º ano de esco(antigo 5º ano liceal/ensino técni.),6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Reformado/a,Reformado/a,Trabalha por conta de outrém,Trabalhadores qualificados em electricidade e em electrónica,55,55,100%,15.16,Não,Não,renovou no ano seguinte
20210249,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.00,2003,18,2021,18,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta própria - independente (sem empregados),Trabalha por conta de outrém,"Aluno, estudante","Directores de hotelaria, restauração, comércio e de outros serviços",27,60,45%,14.44,Não,Não,renovou no ano seguinte
20210381,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.90,2001,20,2021,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Amadora,8.00,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,23,60,38%,12.52,Não,Não,renovou no ano seguinte
20210545,Portuguesa,1,F,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),17.95,2002,19,2021,18,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Mafra,35.00,12.º ano de escolaridade,12.º ano de escolaridade,"Empregados de escritório, secretários em geral e operadores de processamento de dados","Trabalhadores qualificados da construção e similares, exceto eletricista",Desconhecida /Não Tem,Trabalha por conta própria - independente (sem empregados),"Aluno, estudante",Outra situação,34,60,57%,12.85,Não,Não,renovou no ano seguinte
20210168,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),15.40,2002,19,2021,16,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,30,60,50%,13.33,Não,Não,Não renovou
20180236,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,13.30,1999,22,2021,14,Titulares de diploma de CTeSP,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Desconhecido/não sabe,33,33,100%,18.15,Não,Não,Não renovou
20210643,Portuguesa,1,F,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),13.00,1979,42,2008,13,Licenciatura 1.º Ciclo,Pós-Laboral (horário não vinculativo),Não,Seixal,27.80,4.º ano de escolaridade (antiga 4.ª classe),4.º ano de escolaridade (antiga 4.ª classe),Outra situação,Outra situação,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Pessoal dos serviços de protecção e segurança,60,60,100%,15.58,Não,Não,renovou no ano seguinte
20180601,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),12.00,1977,44,2003,12,Bacharelato,Pós-Laboral (horário não vinculativo),Não,Palmela,46.90,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Outra situação,"Técnicos e profissões das ciências e engenharia, de nível intermédio",Reformado/a,Reformado/a,Trabalha por conta de outrém,"Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",9,45,20%,12.78,Não,Não,Não renovou
20210374,Portuguesa,1,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,M - Licenciatura - Titulares de Outros Cursos Superiores (Bach./Lic./Mest./Dout.),16.00,1977,44,2000,NA,Bacharelato,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,12.º ano de escolaridade,Titulares de diploma de CTeSP,Não Responde,Não Responde,Reformado/a,Reformado/a,Trabalha por conta de outrém,Condutores de veículos e operadores de equipamentos móveis,60,60,100%,14.12,Não,Não,renovou no ano seguinte
20210593,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,14.81,1983,38,2019,10,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Cascais,35.30,4.º ano de escolaridade (antiga 4.ª classe),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Reformado/a,Reformado/a,Trabalha por conta de outrém,Vendedores,60,60,100%,14.50,Não,Não,renovou no ano seguinte
20200046,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,12.90,1981,40,2009,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Reformado/a,Reformado/a,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,39,39,100%,11.87,Não,Não,renovou no ano seguinte
20210703,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,16.78,1987,34,2016,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,Curso de Especialização Tecnológica ESup,Ensino médio,Outra situação,Outra situação,Desconhecida /Não Tem,Desconhecida /Não Tem,Serviço Militar,Profissões das Forças Armadas,60,60,100%,12.78,Não,Não,renovou no ano seguinte
20200109,Portuguesa,1,F,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,15.25,1983,38,2005,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Desconhecido,Desconhecido,Não Responde,Não Responde,Trabalha por conta própria - (como empregador),Reformado/a,Trabalha por conta de outrém,"Operadores de dados, de contabilidade, estatística, de serviços financeiros e relacionados com o registo",41,52,79%,11.73,Não,Não,renovou no ano seguinte
20200216,Portuguesa,1,M,Normal,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,16.36,1991,30,2011,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Torres Vedras,45.30,12.º ano de escolaridade,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Trabalha por conta de outrém,Desempregado/a,Trabalha por conta de outrém,"Técnicos e profissões das ciências e engenharia, de nível intermédio",34,41,83%,13.32,Não,Não,renovou no ano seguinte
20200227,Portuguesa,2,M,Trabalhador Estudante,8383,Engenharia de Proteção Civil,861 – Proteção de Pessoas e Bens,99.20%,202122,H - Licenciatura - Acesso para maiores de 23,16.50,1997,24,2016,12,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Seixal,27.80,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,"Trabalhadores da transformação de alimentos, da madeira, do vestuário e outras indústrias e artesanato",14,64,22%,12.71,Não,Não,renovou no ano seguinte
20210006,Portuguesa,1,F,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,16.00,1996,25,2016,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Seixal,27.80,Outro grau,Outro grau,Não Responde,Não Responde,Desempregado/a,Trabalha por conta de outrém,Trabalha por conta de outrém,Pessoal de apoio directo a clientes,60,60,100%,16.53,Não,Não,renovou no ano seguinte
20210004,Portuguesa,1,M,Trabalhador Estudante,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,13.70,1997,24,2016,17,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Torres Vedras,45.30,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Domestica/o,Desempregado/a,Trabalha por conta de outrém,"Empregados de escritório, secretários em geral e operadores de processamento de dados",60,60,100%,17.38,Não,Não,renovou no ano seguinte
20210053,Portuguesa,1,F,Trabalhador Estudante,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,16.10,1996,25,2015,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Seixal,27.80,Bacharelato,12.º ano de escolaridade,Não Responde,Não Responde,Desempregado/a,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalhadores dos serviços pessoais,60,60,100%,15.72,Não,Não,renovou no ano seguinte
20210061,Portuguesa,1,M,Trabalhador Estudante,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,16.85,1991,30,2012,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,Desconhecido,Desconhecido,Não disponível,Não disponível,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,Profissões das Forças Armadas,41,41,100%,14.90,Não,Não,renovou no ano seguinte
20210082,Portuguesa,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,I - Licenciatura - Mudança de Par Instituição/Curso,18.00,2000,21,2018,18,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Caldas da Rainha,87.50,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Trabalha por conta de outrém,"Especialistas das ciências físicas, matemáticas, engenharias e técnicas afins",47,47,100%,17.81,Não,Não,Não renovou
20210076,Angolana,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,O - Licenciaturas - Concurso Especial de Acesso e Ingresso para Estudante Internacional,14.00,2001,20,2019,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,Mestrado,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,50,60,83%,12.90,Não,Não,renovou no ano seguinte
20210075,Angolana,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,O - Licenciaturas - Concurso Especial de Acesso e Ingresso para Estudante Internacional,15.00,2002,19,2019,NA,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta própria - (como empregador),Reformado/a,Trabalha por conta de outrém,"Técnicos de nível intermédio, das áreas financeira, administrativa e dos negócios",50,60,83%,12.94,Não,Não,renovou no ano seguinte
20210102,Portuguesa,1,F,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,13.55,1996,25,2017,14,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Loures,10.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha no negócio de familia,Trabalha por conta de outrém,Trabalha por conta de outrém,Pessoal de apoio directo a clientes,45,60,75%,14.36,Não,Não,renovou no ano seguinte
20210121,Portuguesa,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,H - Licenciatura - Acesso para maiores de 23,17.00,1994,27,2012,17,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Lisboa,0.00,Não Responde,Não Responde,Não Responde,Não Responde,"Aluno, estudante","Aluno, estudante",Trabalha por conta de outrém,"Empregados de escritório, secretários em geral e operadores de processamento de dados",0,44,0%,0.00,Não,Não,Não renovou
20210178,Portuguesa,1,F,Trabalhador Estudante,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],15.24,2000,21,2018,15,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Povoa Varzim,345.00,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Serviço Militar,Sargentos das Forças Armadas,60,60,100%,17.45,Não,Não,renovou no ano seguinte
20210211,Portuguesa,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],11.91,2000,21,2020,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),sim,Torres Vedras,45.30,12.º ano de escolaridade,11.º ano de escolaridade,"Empregados de escritório, secretários em geral e operadores de processamento de dados",Técnicos das tecnologias de informação e comunicação,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,15.97,Não,Não,renovou no ano seguinte
20210212,Portuguesa,1,F,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.95,2002,19,2020,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Sintra,32.10,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),"Aluno, estudante",Desconhecido/não sabe,60,60,100%,16.20,Não,Não,renovou no ano seguinte
20210218,Portuguesa,1,M,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.60,2001,20,2020,13,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Cartaxo,65.80,12.º ano de escolaridade,12.º ano de escolaridade,"Empregados de escritório, secretários em geral e operadores de processamento de dados",Outro pessoal de apoio de tipo administrativo,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),Desempregado/a,Desconhecido/não sabe,19,60,32%,13.47,Não,Não,Não renovou
20210213,Portuguesa,1,F,Normal,8042,Gestão Aeronáutica,345 – Gestão e Administração,96.50%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],16.04,2002,19,2020,16,12.º ano de escolaridade,Pós-Laboral (horário não vinculativo),Não,Cascais,35.30,Mestrado,Licenciatura,"Especialistas das ciências físicas, matemáticas, engenharias e técnicas afins","Especialistas das ciências físicas, matemáticas, engenharias e técnicas afins",Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,16.57,Não,Não,renovou no ano seguinte
